title,rank,date,artist,url,region,chart,trend,streams
(i hope you) miss me,34,2020-04-11,Joseph Black,https://open.spotify.com/track/1Zv2jT7iZu98Feqpzhn0nd,Hungary,viral50,MOVE_DOWN,
ภาวนา,24,2020-08-21,MEYOU,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v,Thailand,top200,MOVE_DOWN,33818.0
Cásate Conmigo,135,2018-08-14,"Silvestre Dangond, Nicky Jam",https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,Ecuador,top200,MOVE_DOWN,2927.0
Sa'yo,100,2018-01-19,Silent Sanctuary,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw,Philippines,top200,MOVE_DOWN,32321.0
Cada Día,126,2021-03-25,Kchiporros,https://open.spotify.com/track/65zC8z3yke13wqKMnKHqhF,Paraguay,top200,MOVE_UP,4338.0
Why'd You Only Call Me When You're High?,107,2021-02-20,Arctic Monkeys,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ,Israel,top200,MOVE_UP,4123.0
Loin de tout,34,2021-01-20,"Jul, Wejdene",https://open.spotify.com/track/5BUoMHwSI66mBNJB3H6yM5,France,top200,MOVE_UP,96843.0
No Es Justo,7,2018-07-28,"J Balvin, Zion & Lennox",https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,Panama,viral50,MOVE_UP,
¿ Was hast du gedacht ?,80,2018-03-18,Gzuz,https://open.spotify.com/track/3KfgsB1luDK9XHJ8e4Hx6h,Germany,top200,MOVE_DOWN,58855.0
Wow.,6,2019-04-06,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,Australia,top200,MOVE_UP,160143.0
Lemon,173,2021-08-09,Kenshi Yonezu,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6,Hong Kong,top200,MOVE_UP,3431.0
Sunflower - Spider-Man: Into the Spider-Verse,61,2019-10-29,"Post Malone, Swae Lee",https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,Ireland,top200,SAME_POSITION,12705.0
Good Without,22,2021-04-19,Mimi Webb,https://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5,Canada,viral50,NEW_ENTRY,
Therefore I Am,33,2020-12-07,Billie Eilish,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,South Africa,viral50,NEW_ENTRY,
Old Town Road,194,2019-09-01,Lil Nas X,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,Finland,top200,NEW_ENTRY,5548.0
Traicionera,182,2017-06-21,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Global,top200,MOVE_DOWN,475759.0
HOME,144,2020-04-12,BTS,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8,Vietnam,top200,MOVE_UP,3326.0
FRIENDS (feat. kiLL edward),49,2018-04-26,J. Cole,https://open.spotify.com/track/6onwlDmIVKE8bBgyBRSuS0,Czech Republic,viral50,NEW_ENTRY,
Volví,1,2021-08-03,"Aventura, Bad Bunny",https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,El Salvador,top200,NEW_ENTRY,44697.0
PSL,25,2021-08-21,Sech,https://open.spotify.com/track/6o4Gciys1ZIOQ2kDGnvKdm,Bolivia,top200,SAME_POSITION,12015.0
Sciroppo (feat. DrefGold),89,2018-09-15,Sfera Ebbasta,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6,Italy,top200,MOVE_DOWN,56468.0
你的色彩,48,2020-04-27,Super Vocal,https://open.spotify.com/track/1zoIuDscEnRo0CP6s5WyhR,Taiwan,viral50,MOVE_DOWN,
